store,aug,a6,trend,base,factor,task,note,chg
D_NEW AWOLOWO-IKEJA- LAGOS,1857.399,1694.3,0.911,1497.2823666666666,1.045,1570,"下滑店,补偿一半",-15.473196658337807
D_DS-AWOLOWO-IKEJA-LAGOS,1706.195,1618.7,0.977,1430.4157333333335,1.011,1450,"下滑店,补偿一半",-15.015575593645503
D_MSL OTIGBA-IKEJA-LAGOS,1345.18,1248.5,0.918,1103.29945,1.041,1150,"下滑店,补偿一半",-14.50958236072496
D_UMUAHIA-MONEYLINE WARRI STREET-MARKET-UMUAHIA,1186.869,1003.8,0.773,887.0875166666667,1.113,990,"下滑店,补偿一半",-16.587256049319677
D_IKORODU2-IKORODU GARAGE-LAGOS,997.864,897.2,0.954,792.8261833333333,1.023,820,"下滑店,补偿一半",-17.824473074487102
D_AGBARA-FRANK POLT1-INDUSTRIAL AERA-AGBARA,935.961,834.8,0.837,737.7422166666668,1.081,800,"下滑店,补偿一半",-14.526353127961533
D_APAPA-CHUKWUKA KOFO ABAYOMI-APAPA-LAGOS,910.005,856.3,0.942,756.7417666666668,1.029,780,"下滑店,补偿一半",-14.286185240740433
D_OWERRI2-EVANS2-WEALTHRAL-OWERRI,993.744,935.7,0.93,826.8486333333333,1.035,860,"下滑店,补偿一半",-13.458596982723925
D_BADAGRY-MARKET ST-LAGOS,822.146,757.3,0.908,669.2554666666667,1.046,710,"下滑店,补偿一半",-13.640642902842071
D_ALABA-CONCERTRIC CONCERTRIC OJO LGBEDE-ALABA-LAGOS,883.019,851.5,0.863,752.47055,1.069,810,"下滑店,补偿一半",-8.269244489642924
D_ONITSHA-MAIN MARKET RD-ONITSHA ANAMBRA STATE,700.0,,,615.8188153310106,1.0,620,"无历史,季节换算",-11.428571428571432
D_MUSHIN-TUNDE AGEGE MOTOR-MUSHIN-LAGOS,830.901,785.5,0.998,694.14635,1.001,700,"下滑店,补偿一半",-15.75410307605839
D_ENUGU-ANYACHEBELU MARKET-HOLLY GOST-ENUGU,859.844,770.3,0.867,680.7435666666668,1.066,730,"下滑店,补偿一半",-15.100878764054881
